brand,external_id,name,list_price,sale_price,discount_rate,is_deal,deal_signals,is_soldout,summary,product_url,image_url
눅담,590,[신제품] 널담 뉴트리션 완전영양 라이트번 저당 고단백 모닝빵 플레인 60g 3봉 3세트 (총 9봉),28900,14900,48,Y,category|price_diff,N,,https://nuldam.com/product/detail.html?product_no=590,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/54d8d2e3ec6b9a6592e1a4c1376fd082.png
눅담,573,"[📢 신규 전용 혜택! 100원딜] 고단백 저당 네모 바게트 1개 (5가지맛 택1, 개당 90g)",,100,,Y,category|title_tag,N,💡 신규회원만 누리는 바게트딜!,https://nuldam.com/product/detail.html?product_no=573,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202512/44ef40483eaca6a2842d070b7609d059.png
눅담,1630,저당 두바이 쫀득 쿠키 4개 (개당 40g),42700,20000,53,Y,category|price_diff,N,널담이 개발한👩‍🔬무설탕 저당 두쫀쿠🧆,https://nuldam.com/product/detail.html?product_no=1630,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202602/2bd044d97bfe2f1f06bff488154f9de5.png
눅담,360,널담 완전영양 천연 카페인 에너지드링크 24캔 (캔당 355ml),28900,20000,31,Y,category|price_diff,N,[무료배송] 제로 슈가로 부담 없이! 34종 성분 함유⚡,https://nuldam.com/product/detail.html?product_no=360,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/63a7eb897fd312cdc00413a0b78d6ae4.png
눅담,2047,"고단백 저당 베이글 21개 (7가지맛, 개당 130g)",72600,38200,47,Y,category|price_diff,N,[비건] 단백질 23g 당 2g,https://nuldam.com/product/detail.html?product_no=2047,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202604/d525bf5daeb5aaf2d02a6446bee3369d.png
눅담,2162,"고단백 저당 통밀 아메리칸 쿠키 6개 2박스 (6가지맛, 개당 100g)",39800,25500,36,Y,price_diff,N,[락토오보] 🥚계란 2개 분량의 고단백 쿠키,https://nuldam.com/product/detail.html?product_no=2162,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202604/ab45814c64a9accedd0df60ddb28adde.png
눅담,1631,"고단백 저당 상온 쫀득 쿠키 6개 (2가지맛 택2, 개당 60g)",29400,15900,46,Y,price_diff,N,[신상품] 상온 라인의 첫주자! 쫀득한 초코와 치즈🍫🧀,https://nuldam.com/product/detail.html?product_no=1631,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202602/f9ca0b3d0615b869d89083acbca4421d.png
눅담,78,[첫구매혜택] 고단백 통밀스콘 3개입,9900,990,90,Y,price_diff,N,,https://nuldam.com/product/detail.html?product_no=78,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202512/238c68233b8bc06a4a09799c976cba07.png
눅담,1337,"두바이 쫀득 뚱카롱 8구 1박스 (초코/ 피스타치오맛, 개당 50g)",19600,10900,44,Y,price_diff,N,"🧆 쫀득한 꼬끄와 진한 초코, 피스타치오맛의 만남🍫",https://nuldam.com/product/detail.html?product_no=1337,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202602/4a459128433f2120e1e0de92883db4e0.jpg
눅담,2200,"고단백 저당 네모 바게트 15개 (5가지맛 택3, 개당 90g)",53800,26200,51,Y,price_diff,N,당첨가 없이 원물로 단맛을 낸 패러다임,https://nuldam.com/product/detail.html?product_no=2200,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/9b59923e01b66d23771d9e8c1c8e60ac.png
눅담,37,"고단백 저당 통밀 르뱅 쿠키 6개 2박스 (6가지맛, 개당 50g)",27500,19900,28,Y,price_diff,N,[락토오보] 🥛우유 2잔 분량의 고단백 르뱅쿠키,https://nuldam.com/product/detail.html?product_no=37,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202601/61a266198a99468cfc30947ba988d7fe.png
눅담,701,"[🎁답례품] 식이섬유 4.5cm 마카롱 (솔티드 카라멜,블루베리 크림치즈)",,21200,,N,,N,🎁 마음을 전하는 선물 패키지 답례품 💌,https://nuldam.com/product/detail.html?product_no=701,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/ad6f8fdc7f6b7b23a65e2a754a24bf41.png
눅담,118,"체리, 피스타치오 컬렉션 뚱카롱 4구 2박스 (2가지맛, 개당 50g)",19600,11900,39,Y,price_diff,N,[락토오보] 🌸식이섬유 가득한 봄 시즌 플레이버,https://nuldam.com/product/detail.html?product_no=118,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/8b61cbc36590f2659a1c414e7681c604.png
눅담,121,"고단백 저당 통밀 스콘 7개 (3가지맛 택2, 개당 100g)",28900,16900,42,Y,price_diff,N,[락토오보] 고단백&저당&무당 식단관리 스콘💪,https://nuldam.com/product/detail.html?product_no=121,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/2998d0cbd1284b06619bf64c51fa65cd.png
눅담,123,"[2+1]널담 고단백 저당 완전영양 통밀 식빵 3개 (3가지맛, 개당 100g)",15900,10900,31,Y,title_tag|price_diff,N,한 봉지로 채우는 33종 영양성분💪,https://nuldam.com/product/detail.html?product_no=123,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/7a48368e8e43eb0a019b233ec22e515d.png
눅담,378,"💝낱개 구매💝식이섬유 4cm 휘낭시에 8개 1박스 (8가지맛, 개당 50g)",19600,13900,29,Y,price_diff,N,[락토오보] 4cm 두께의 겉바속쫀 크림 휘낭시에,https://nuldam.com/product/detail.html?product_no=378,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/3facec9d01c799a693ad0398033baa06.png
눅담,390,고단백 저당 크림가득 크림빵 5개 (개당 120g),29800,17900,40,Y,price_diff,N,지방은 덜고 단백질은 채운 단백질 25g 크림빵,https://nuldam.com/product/detail.html?product_no=390,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/ca3090f5f9988a39f04bcbc9d1947669.png
눅담,51,"고단백 저당 비건 파운드 케이크 3개 (5가지맛 택1, 개당 140g)",18000,10900,39,Y,price_diff,N,[비건] 🍎사과 2개 분량의 고식이섬유 묵직촉촉 파운드,https://nuldam.com/product/detail.html?product_no=51,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/f745370085b959b0e52b924a4434c1ad.png
눅담,144,널담 브랜드 쇼핑백,,1000,,N,,N,,https://nuldam.com/product/detail.html?product_no=144,https://cafe24.poxo.com/ec01/joinandjoin3/YepDBcpQi6F1EGuL9rzRwSOX6iBaegInadJOBqJjBl8mIPOKixffqoe/SEB3Y+EmfOLxV9OtXy9ki4TqHva87Q==/_/web/product/medium/202511/f5b361adcd16702ec66f648bb12c8c43.png
