brand,csv_name,naver_name,road,jibun,category,lat,lng,link,판정
스타벅스,,스타벅스 전주아중DT점,전북특별자치도 전주시 덕진구 아중로 220,전북특별자치도 전주시 덕진구 우아동1가 908-1,"카페,디저트>카페",35.828236,127.1731659,http://www.starbucks.co.kr/,추가(CSV에 없음)
이디야,이디야커피전주북일점,이디야커피 전주북일점,전북특별자치도 전주시 덕진구 안골4길 4,전북특별자치도 전주시 덕진구 인후동1가 755-10 1층,"카페,디저트>카페",35.8412357,127.1552,https://blog.naver.com/ediya-coffee,확인
빽다방,,빽다방 전주모래내시장점,전북특별자치도 전주시 덕진구 안덕원로 165 모래내동물병원,전북특별자치도 전주시 덕진구 인후동2가 234-1 1층,"카페,디저트>테이크아웃커피",35.8339307,127.1459067,,추가(CSV에 없음)
이디야,이디야안골네거리,이디야커피 전주안골네거리점,전북특별자치도 전주시 덕진구 안덕원로 248 범양빌딩,전북특별자치도 전주시 덕진구 인후동1가 772-6 범양빌딩,"카페,디저트>카페",35.8362701,127.1540649,https://blog.naver.com/ediya-coffee,확인
빽다방,,빽다방 전주안골네거리점,전북특별자치도 전주시 덕진구 안덕원로 250,전북특별자치도 전주시 덕진구 인후동1가 772-7 1층,"카페,디저트>테이크아웃커피",35.8362775,127.1542373,,추가(CSV에 없음)
컴포즈커피,,컴포즈커피 전주어은점,전북특별자치도 전주시 완산구 어은로 18,전북특별자치도 전주시 완산구 중화산동2가 658,"카페,디저트>카페",35.8164666,127.1248234,,추가(CSV에 없음)
빽다방,,빽다방 전주한옥어진길점,전북특별자치도 전주시 완산구 어진길 40,전북특별자치도 전주시 완산구 풍남동2가 40-11 1층 102호,"카페,디저트>테이크아웃커피",35.8177434,127.1523235,,추가(CSV에 없음)
이디야,,이디야커피 전주서신점,전북특별자치도 전주시 완산구 여울로 17-8 호암빌딩,전북특별자치도 전주시 완산구 서신동 968-7 호암빌딩,"카페,디저트>카페",35.8351308,127.1209311,https://blog.naver.com/ediya-coffee,추가(CSV에 없음)
이디야,이디야커피숍(전주혁신점),이디야커피 전주혁신점,전북특별자치도 전주시 덕진구 오정1길 4,"전북특별자치도 전주시 덕진구 중동 779-2 1동 102, 103호","카페,디저트>카페",35.8356793,127.0601236,https://blog.naver.com/ediya-coffee,확인
투썸플레이스,투썸플레이스(전주교직원공제회관점),투썸플레이스 전주교직원공제회관점,전북특별자치도 전주시 완산구 온고을로 1 한국교직원공제회전북회관,전북특별자치도 전주시 완산구 서신동 769-1 한국교직원공제회,"카페,디저트>카페",35.8333104,127.1221117,http://www.twosome.co.kr/,확인
컴포즈커피,컴포즈커피 전주롯데점,컴포즈커피 전주롯데점,전북특별자치도 전주시 완산구 온고을로 22,전북특별자치도 전주시 완산구 서신동 970-3 106호,"카페,디저트>카페",35.8341967,127.1204651,,확인
메가MGC커피,,메가MGC커피 전주롯데점,전북특별자치도 전주시 완산구 온고을로 30-18,전북특별자치도 전주시 완산구 서신동 969-7,"카페,디저트>카페",35.834588,127.1205903,,추가(CSV에 없음)
메가MGC커피,,메가MGC커피 전주화개네거리점,전북특별자치도 전주시 덕진구 온고을로 566,전북특별자치도 전주시 덕진구 여의동 1263-7 1층,"카페,디저트>카페",35.8561208,127.0689199,,추가(CSV에 없음)
메가MGC커피,메가커피삼천중앙점,메가MGC커피 전주삼천중앙점,전북특별자치도 전주시 완산구 용리로 143 삼익수영장,전북특별자치도 전주시 완산구 삼천동1가 590-1 상가동 1층 5호,"카페,디저트>카페",35.7972927,127.1253691,,확인
이디야,이디야커피삼천점,이디야커피 전주삼천점,전북특별자치도 전주시 완산구 용리로 43,전북특별자치도 전주시 완산구 효자동1가 669-4,"카페,디저트>카페",35.7988211,127.1146559,https://blog.naver.com/ediya-coffee,확인
메가MGC커피,메가엠지씨커피전주삼천점,메가MGC커피 전주삼천점,전북특별자치도 전주시 완산구 용리로 55,전북특별자치도 전주시 완산구 효자동1가 669-11,"카페,디저트>카페",35.7988109,127.1157531,,확인
빽다방,빽다방 전주서부시장점,빽다방 전주서부시장점,전북특별자치도 전주시 완산구 용머리로 149 힐스테이트어울림효자 상가,전북특별자치도 전주시 완산구 효자동1가 902 상가 A동 1층 B104호,"카페,디저트>테이크아웃커피",35.8067078,127.1263453,,확인
메가MGC커피,,메가MGC커피 전주서부시장점,전북특별자치도 전주시 완산구 용머리로 165 행진수족관,전북특별자치도 전주시 완산구 효자동1가 193-7 1층,"카페,디저트>카페",35.8064956,127.1279992,,추가(CSV에 없음)
이디야,이디야커피(서부시장점),이디야커피 전주서부시장점,전북특별자치도 전주시 완산구 용머리로 167,전북특별자치도 전주시 완산구 효자동1가 147-1,"카페,디저트>카페",35.8066255,127.1284212,https://blog.naver.com/ediya-coffee,확인
투썸플레이스,,투썸플레이스 CGV 전주효자점,전북특별자치도 전주시 완산구 용머리로 45,전북특별자치도 전주시 완산구 효자동1가 434,"카페,디저트>카페",35.8068906,127.1156286,,추가(CSV에 없음)
스타벅스,스타벅스커피 전주효자DT점,스타벅스 전주효자DT점,전북특별자치도 전주시 완산구 용머리로 7,전북특별자치도 전주시 완산구 효자동1가 410-6,"카페,디저트>카페",35.8056207,127.11114,http://www.starbucks.co.kr/,확인
빽다방,빽다방전주효자안행교점,빽다방 전주효자안행교점,전북특별자치도 전주시 완산구 용머리로 72,전북특별자치도 전주시 완산구 효자동1가 281-3,"카페,디저트>테이크아웃커피",35.8062806,127.1180391,,확인
빽다방,빽다방전주우아한시티점,빽다방 전주우아한시티점,전북특별자치도 전주시 덕진구 우아로 31 우아한시티 상가,전북특별자치도 전주시 덕진구 우아동3가 772 1층 19호,"카페,디저트>테이크아웃커피",35.8506073,127.1557415,,확인
