brand,csv_name,naver_name,road,jibun,category,lat,lng,link,판정
메가MGC커피,,메가MGC커피 전주중화산점,전북특별자치도 전주시 완산구 화산천변로 24,전북특별자치도 전주시 완산구 중화산동2가 752-3 1층 102호,"카페,디저트>카페",35.8210909,127.1163616,,추가(CSV에 없음)
이디야,이디야전주효자점,이디야커피 전주효자점,전북특별자치도 전주시 완산구 효자천변2길 11,전북특별자치도 전주시 완산구 효자동1가 457-1 1층,"카페,디저트>카페",35.8050759,127.1140241,https://blog.naver.com/ediya-coffee,확인
이디야,이디야커피전주효천우미린점,이디야커피 전주효천우미린점,전북특별자치도 전주시 완산구 효천천변길 20,전북특별자치도 전주시 완산구 효자동2가 1358-1 1층 이디야커피,"카페,디저트>카페",35.8022488,127.1024973,https://blog.naver.com/ediya-coffee,확인
빽다방,빽다방전주효천지구점,빽다방 전주효천지구점,전북특별자치도 전주시 완산구 효천천변길 24,전북특별자치도 전주시 완산구 효자동2가 1359-6,"카페,디저트>테이크아웃커피",35.8018138,127.1021823,https://100원커피이벤트-선착순주문하기.com,확인
투썸플레이스,투썸플레이스 전주씨지브이중앙점,,"전북특별자치도 전주시 완산구 전주객사3길 72, (고사동)",,,35.82037069,127.1420517,,폐점의심(네이버 검색결과 없음)
투썸플레이스,투썸플레이스전주역클래시아점,,"전북특별자치도 전주시 덕진구 동부대로 670, 1층 L115호 상가동 지 ~L117호(우아동3가, 클래시아더스카이)",,,35.84831528,127.1617999,,폐점의심(네이버 검색결과 없음)
이디야,이디야 삼천중앙점,,"전북특별자치도 전주시 완산구 용리로 126, (삼천동1가)",,,35.79775781,127.1234314,,폐점의심(네이버 검색결과 없음)
이디야,이디야(전주삼천제일점),,"전북특별자치도 전주시 완산구 거마평로 6, (삼천동1가)",,,35.79301539,127.1170559,,폐점의심(네이버 검색결과 없음)
이디야,이디야시외버스터미널점,,"전북특별자치도 전주시 덕진구 가리내로 33, 1층 (금암동)",,,35.83395695,127.1324754,,폐점의심(네이버 검색결과 없음)
이디야,이디야전주동산점,,"전북특별자치도 전주시 덕진구 편운로 6, 101동 2호 (여의동2가)",,,35.87083159,127.0770389,,폐점의심(네이버 검색결과 없음)
이디야,이디야커피(전주효천대방점),,"전북특별자치도 전주시 완산구 홍산로 14, (삼천동2가)",,,35.79589878,127.1059499,,폐점의심(네이버 검색결과 없음)
이디야,이디야커피숍서신여울점,,"전북특별자치도 전주시 완산구 고사평로 22, (서신동)",,,35.83591863,127.1098186,,폐점의심(네이버 검색결과 없음)
이디야,이디야커피전주대점,,"전북특별자치도 전주시 완산구 백마산길 24, (효자동3가)",,,35.81746817,127.0904373,,폐점의심(네이버 검색결과 없음)
이디야,이디야커피전주송천용소점,,"전북특별자치도 전주시 덕진구 시천로 50, 1층 (송천동1가)",,,35.86382287,127.1146781,,폐점의심(네이버 검색결과 없음)
이디야,이디야커피전주에코세병호점,,"전북특별자치도 전주시 덕진구 세병로 174-9, (송천동2가)",,,35.87938222,127.1336424,,폐점의심(네이버 검색결과 없음)
이디야,이디야커피전주중앙점,,"전북특별자치도 전주시 완산구 팔달로 250, (서노송동)",,,35.82451831,127.1448071,,폐점의심(네이버 검색결과 없음)
이디야,이디야커피전주휴먼시아점,,"전북특별자치도 전주시 완산구 봉곡로 29, (효자동3가)",,,35.8119581,127.0972167,,폐점의심(네이버 검색결과 없음)
메가MGC커피,메가엠지씨커피전주서곡점,,"전북특별자치도 전주시 완산구 세내로 542, (효자동3가)",,,35.83395271,127.0999786,,폐점의심(네이버 검색결과 없음)
빽다방,전주대점빽다방,,"전북특별자치도 전주시 완산구 백마산길 23, (효자동3가)",,,35.81719955,127.0906728,,폐점의심(네이버 검색결과 없음)
